Name,Year,Rate,Genre,Country,Budget,Gross Worldwide
Friday the 13th Part VI: Jason Lives,1986,6.0,"Horror,Thriller",United States,3000000,19472057
Mimic,1997,6.0,"Horror,Sci-Fi",United States,30000000,25480803
Friday the 13th: The Final Chapter,1984,6.0,"Horror,Thriller",United States,2600000,32980880
Deep Rising,1998,6.1,"Action,Adventure,Horror,Sci-Fi",United States,45000000,11203026
House of 1000 Corpses,2003,6.1,Horror,United States,7000000,16829545
Vampires,1998,6.1,"Action,Horror,Thriller",United States,20000000,20308772
Wrong Turn,2003,6.1,"Horror,Thriller",Canada,12600000,28650575
The Amityville Horror,2005,6.0,Horror,United States,19000000,107516369
Halloween,2007,6.1,Horror,United States,15000000,80460948
The Rite,2011,6.0,"Drama,Horror,Mystery,Thriller",United States,37000000,96560591
Mirrors,2008,6.1,"Horror,Mystery",United States,35000000,78094714
Bug,2006,6.1,"Drama,Horror,Thriller",United States,4000000,8095658
Hansel & Gretel: Witch Hunters,2013,6.1,"Action,Fantasy,Horror",United States,50000000,226349749
Hobo with a Shotgun,2011,6.1,"Action,Comedy,Horror,Thriller",Canada,3000000,748453
Solomon Kane,2009,6.1,"Action,Adventure,Fantasy,Horror",Czech Republic,45000000,19652185
The Belko Experiment,2016,6.1,"Horror,Thriller",United States,5000000,11084630
The Collection,2012,6.1,"Horror,Thriller",United States,7500000,9929706
6 Souls,2010,6.1,"Horror,Mystery,Thriller",United States,22000000,3205167
Insidious: Chapter 3,2015,6.1,"Horror,Mystery,Thriller",Canada,10000000,112983889
Brightburn,2019,6.1,"Drama,Horror,Mystery,Sci-Fi",United States,6000000,32893421
Crawl,2019,6.1,"Action,Horror,Thriller",United States,13500000,91542097
Maniac,2012,6.1,"Horror,Thriller",France,6000000,2631275
House,1985,6.2,"Comedy,Fantasy,Horror",United States,3000000,19444631
Wolf,1994,6.2,"Drama,Horror,Romance,Thriller",United States,70000000,131002597
Idle Hands,1999,6.2,"Comedy,Fantasy,Horror,Thriller",United States,25000000,4152230
Scream 2,1997,6.2,"Horror,Mystery",United States,24000000,172363301
Jeepers Creepers,2001,6.2,"Horror,Mystery",United States,10000000,59371303
Alien: Resurrection,1997,6.2,"Action,Horror,Sci-Fi",United States,75000000,161376069
Final Destination 2,2003,6.2,"Horror,Thriller",United States,26000000,90941129
The Texas Chainsaw Massacre,2003,6.2,"Crime,Horror",United States,9500000,107363905
Stigmata,1999,6.2,Horror,United States,29000000,89446268
Deliver Us from Evil,2014,6.2,"Crime,Drama,Fantasy,Horror,Mystery,Thriller",United States,30000000,87937815
Resident Evil: Apocalypse,2004,6.2,"Action,Horror,Sci-Fi,Thriller",Germany,45000000,129342769
"As Above, So Below",2014,6.2,"Horror,Mystery,Thriller",United States,5000000,41898409
Scary Stories to Tell in the Dark,2019,6.2,"Adventure,Horror,Mystery",United States,25000000,104545505
Wolf Creek,2005,6.2,"Horror,Thriller",Australia,1000000,30894796
It Comes at Night,2017,6.2,"Horror,Mystery,Sci-Fi,Thriller",United States,5000000,19735344
Krampus,2015,6.2,"Comedy,Drama,Fantasy,Horror",United States,15000000,61548707
Ouija: Origin of Evil,2016,6.2,"Drama,Horror,Mystery,Thriller",United States,9000000,81705746
Colossal,2016,6.2,"Action,Adventure,Comedy,Drama,Fantasy,Horror,Sci-Fi,Thriller",Canada,15000000,4531320
Happy Death Day 2U,2019,6.2,"Comedy,Horror,Mystery,Sci-Fi,Thriller",United States,9000000,64600152
Color Out of Space,2019,6.2,"Horror,Mystery,Sci-Fi,Thriller",United States,6000000,1023510
Damien: Omen II,1978,6.3,Horror,United Kingdom,6800000,26518355
Predator 2,1990,6.3,"Action,Horror,Sci-Fi",United States,35000000,57120318
The Amityville Horror,1979,6.2,Horror,United States,4700000,86432000
Feast,2005,6.3,"Action,Comedy,Horror,Thriller",United States,3200000,719135
Goosebumps,2015,6.3,"Adventure,Comedy,Family,Fantasy,Horror",United States,58000000,158261424
Paranormal Activity,2007,6.3,"Horror,Mystery",United States,15000,193355800
Dracula Untold,2014,6.3,"Action,Drama,Fantasy,Horror,War",United States,70000000,217124280
Underworld: Awakening,2012,6.3,"Action,Fantasy,Horror,Sci-Fi",United States,70000000,160112671
Dead Snow,2009,6.3,"Comedy,Fantasy,Horror",Norway,800000,2166797
I Spit on Your Grave,2010,6.3,"Horror,Thriller",United States,2000000,1278650
13 Sins,2014,6.3,"Horror,Thriller",United States,4000000,826913
Scouts Guide to the Zombie Apocalypse,2015,6.3,"Action,Comedy,Horror",United States,15000000,16137046
Dark Skies,2013,6.3,"Horror,Sci-Fi,Thriller",United States,3500000,27858103
The People Under the Stairs,1991,6.4,"Comedy,Horror,Mystery,Thriller",United States,6000000,31347154
The Shallows,2016,6.3,"Action,Drama,Horror,Thriller",United States,17000000,119100758
The Cell,2000,6.4,"Crime,Horror,Sci-Fi,Thriller",United States,33000000,104155843
The Mothman Prophecies,2002,6.4,"Drama,Horror,Mystery,Thriller",United States,32000000,55305279
Screamers,1995,6.4,"Horror,Sci-Fi,Thriller",Canada,20000000,5711695
The Visit,2015,6.3,"Horror,Mystery,Thriller",United States,5000000,98450062
Mary Shelley's Frankenstein,1994,6.4,"Drama,Horror,Romance,Sci-Fi",United States,45000000,112006296
Session 9,2001,6.4,"Horror,Mystery",United States,1500000,1612259
Mindhunters,2004,6.4,"Crime,Horror,Thriller",Netherlands,27000000,21148829
Daybreakers,2009,6.4,"Action,Horror,Sci-Fi,Thriller",Australia,20000000,51417188
Night Watch,2004,6.4,"Action,Fantasy,Horror,Thriller",Russia,4200000,50336279
The Hills Have Eyes,2006,6.4,"Horror,Thriller",United States,15000000,70009308
Freaky,2020,6.4,"Comedy,Horror,Thriller",United States,5000000,15920855
The Collector,2009,6.4,"Horror,Thriller",United States,6000000,10234475
Under the Skin,2013,6.4,"Drama,Horror,Sci-Fi,Thriller",United Kingdom,13300000,5866389
The Woman in Black,2012,6.4,"Drama,Fantasy,Horror,Thriller",United Kingdom,17000000,128955898
The House of the Devil,2009,6.4,"Horror,Mystery",United States,900000,101215
Fright Night,2011,6.4,"Comedy,Horror",United States,30000000,41002607
Alien: Covenant,2017,6.4,"Horror,Sci-Fi,Thriller",United States,97000000,240891763
The Purge: Anarchy,2014,6.4,"Action,Horror,Sci-Fi,Thriller",United States,9000000,111928365
A Cure for Wellness,2016,6.4,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States,40000000,26620002
The Craft,1996,6.4,"Drama,Fantasy,Horror,Thriller",United States,15000000,24819936
Revenge,2017,6.4,"Action,Horror,Thriller",France,3000000,913331
Unsane,2018,6.4,"Drama,Horror,Mystery,Thriller",United States,1500000,14293601
Escape Room,2019,6.4,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller",United States,9000000,155712077
Psycho II,1983,6.5,"Crime,Horror,Mystery,Thriller",United States,5000000,34725000
Twilight Zone: The Movie,1983,6.5,"Horror,Sci-Fi",United States,10000000,29450919
The Last House on the Left,2009,6.5,"Horror,Thriller",United States,15000000,45995223
Halloween II,1981,6.5,Horror,United States,2500000,25533818
The Crazies,2010,6.5,"Horror,Mystery,Thriller",United States,20000000,54806823
Evil Dead,2013,6.5,Horror,United States,17000000,97542952
Stake Land,2010,6.5,"Drama,Horror,Sci-Fi",United States,650000,405380
[Rec]²,2009,6.5,"Horror,Thriller",Spain,5600000,18853164
Drag Me to Hell,2009,6.5,Horror,United States,30000000,90842646
Oculus,2013,6.5,"Horror,Mystery",United States,5000000,44459951
Crimson Peak,2015,6.5,"Drama,Horror,Mystery,Romance,Thriller",United States,55000000,74679822
Annabelle: Creation,2017,6.5,"Horror,Mystery,Thriller",United States,15000000,306515884
It Chapter Two,2019,6.5,"Drama,Fantasy,Horror",United States,79000000,473093228
The Hunt,2020,6.5,"Action,Horror,Thriller",United States,14000000,11481750
The Howling,1981,6.6,Horror,United States,1000000,17985893
The Blob,1988,6.6,"Horror,Sci-Fi,Thriller",United States,19000000,8247943
Pet Sematary,1989,6.6,"Fantasy,Horror,Thriller",United States,11500000,57470138
A Nightmare on Elm Street 3: Dream Warriors,1987,6.6,"Fantasy,Horror",United States,4500000,44793222
Flatliners,1990,6.6,"Drama,Horror,Sci-Fi,Thriller",United States,26000000,61489265
Child's Play,1988,6.6,"Horror,Thriller",United States,9000000,44196684
The Witches of Eastwick,1987,6.6,"Comedy,Fantasy,Horror",United States,22000000,63766510
Death Becomes Her,1992,6.6,"Comedy,Fantasy,Horror",United States,55000000,149022650
Antichrist,2009,6.6,"Drama,Horror,Thriller",Denmark,11000000,7413863
30 Days of Night,2007,6.6,"Action,Horror,Thriller",United States,30000000,75513170
May,2002,6.6,"Comedy,Drama,Horror,Thriller",United States,500000,264349
What Lies Beneath,2000,6.6,"Drama,Horror,Mystery,Thriller",United States,100000000,291420351
Saw II,2005,6.6,"Horror,Mystery",Canada,4000000,147748505
Prince of Darkness,1987,6.7,Horror,United States,3000000,14182492
Return to Oz,1985,6.7,"Adventure,Family,Fantasy,Horror,Mystery",United Kingdom,25000000,11137801
Christine,1983,6.7,"Horror,Thriller",United States,9700000,21017849
Phantasm,1979,6.7,"Horror,Sci-Fi",United States,300000,11988469
From Beyond,1986,6.7,"Horror,Sci-Fi",United States,4500000,1261000
Event Horizon,1997,6.7,"Horror,Sci-Fi,Thriller",United Kingdom,60000000,26673829
The Gift,2000,6.7,"Drama,Fantasy,Horror,Mystery",United States,10000000,44567606
Blade II,2002,6.7,"Action,Horror,Sci-Fi,Thriller",Germany,54000000,155010032
Final Destination,2000,6.7,"Horror,Thriller",United States,23000000,112880294
Candyman,1992,6.7,"Horror,Thriller",United States,6000000,25795897
Cronos,1993,6.7,"Drama,Fantasy,Horror,Thriller",Mexico,2000000,621392
Resident Evil,2002,6.7,"Action,Horror,Sci-Fi",United Kingdom,33000000,102984862
The Exorcism of Emily Rose,2005,6.7,"Drama,Horror,Thriller",United States,19000000,145166804
Ju-on: The Grudge,2002,6.7,Horror,Japan,3500000,3657876
Suspiria,2018,6.7,"Drama,Fantasy,Horror,Mystery,Thriller",Italy,20000000,7942093
Fido,2006,6.7,"Comedy,Drama,Horror,Sci-Fi",Canada,8000000,426224
Pandorum,2009,6.7,"Action,Horror,Mystery,Sci-Fi,Thriller",Germany,33000000,20648328
The Call,2013,6.7,"Crime,Drama,Horror,Thriller",United States,13000000,68572631
Zombieland: Double Tap,2019,6.7,"Action,Comedy,Horror",United States,42000000,122810399
Hotel Transylvania 2,2015,6.7,"Animation,Adventure,Comedy,Family,Fantasy,Horror",United States,80000000,475186706
Warm Bodies,2013,6.8,"Comedy,Horror,Romance",United States,35000000,116980662
Insidious,2010,6.8,"Horror,Mystery,Thriller",United States,1500000,99557032
Sinister,2012,6.8,"Horror,Mystery,Thriller",United States,3000000,82515113
The Babadook,2014,6.8,"Drama,Horror,Mystery,Thriller",Australia,2000000,10507563
Odd Thomas,2013,6.8,"Comedy,Fantasy,Horror,Mystery,Romance,Thriller",United States,27000000,1149267
Annihilation,2018,6.8,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller",United States,40000000,43070915
It Follows,2014,6.8,"Horror,Mystery,Thriller",United States,1000000,21947454
Us,2019,6.8,"Horror,Mystery,Thriller",United States,20000000,255185482
Hocus Pocus,1993,6.9,"Comedy,Family,Fantasy,Horror",United States,28000000,45395069
Creepshow,1982,6.9,"Comedy,Fantasy,Horror",United States,8000000,21028755
I See You,2019,6.8,"Crime,Drama,Horror,Mystery,Thriller",United States,3000000,1194369
Night of the Living Dead,1990,6.9,Horror,United States,4200000,5835247
Shadow of the Vampire,2000,6.9,"Drama,Horror",United Kingdom,8000000,11155214
Frankenweenie,2012,6.9,"Animation,Comedy,Drama,Family,Horror,Sci-Fi,Thriller",United States,39000000,81493846
The Witch,2015,6.9,"Drama,Horror,Mystery",United States,4000000,40423945
28 Weeks Later,2007,6.9,"Horror,Sci-Fi",United Kingdom,15000000,65048678
Ready or Not,2019,6.9,"Action,Comedy,Horror,Mystery,Thriller",United States,6000000,57615777
Near Dark,1987,7.0,"Action,Crime,Drama,Horror,Romance,Thriller",United States,5000000,3369307
The Monster Squad,1987,7.0,"Action,Comedy,Fantasy,Horror",United States,12000000,3769990
Henry: Portrait of a Serial Killer,1986,7.0,"Biography,Crime,Drama,Horror,Thriller",United States,111000,609939
Brotherhood of the Wolf,2001,7.0,"Action,Adventure,Drama,Horror,Thriller",France,29000000,70752904
Ichi the Killer,2001,7.0,"Action,Crime,Horror",Japan,1400000,80631
Bubba Ho-Tep,2002,7.0,"Comedy,Fantasy,Horror,Mystery,Western",United States,1000000,1239183
Ravenous,1999,7.0,"Adventure,Horror,Western",United Kingdom,12000000,2062405
Constantine,2005,7.0,"Action,Fantasy,Horror,Mystery",United States,100000000,230884728
Tremors,1990,7.1,"Comedy,Horror",United States,11000000,16667084
Fright Night,1985,7.1,"Comedy,Fantasy,Horror",United States,9000000,24922237
Blade,1998,7.1,"Action,Horror,Sci-Fi",United States,45000000,131211377
The Frighteners,1996,7.1,"Comedy,Fantasy,Horror",New Zealand,30000000,29359216
Little Shop of Horrors,1986,7.1,"Comedy,Horror,Musical,Romance,Sci-Fi",United States,25000000,38983045
The Ring,2002,7.1,"Horror,Mystery",United States,48000000,249348933
Pitch Black,2000,7.1,"Action,Horror,Sci-Fi,Thriller",United States,23000000,53187659
Hotel Transylvania,2012,7.1,"Animation,Comedy,Family,Fantasy,Horror",United States,85000000,358375603
The Mist,2007,7.1,"Horror,Sci-Fi,Thriller",United States,18000000,57470220
Stir of Echoes,1999,7.0,"Horror,Mystery,Thriller",United States,12000000,21142914
The Invisible Man,2020,7.1,"Drama,Horror,Mystery,Sci-Fi,Thriller",Australia,7000000,143151000
Thirst,2009,7.1,"Drama,Fantasy,Horror,Romance",South Korea,5000000,13085023
Day of the Dead,1985,7.1,"Horror,Thriller",United States,3500000,5000000
Let Me In,2010,7.1,"Drama,Fantasy,Horror,Mystery,Thriller",United Kingdom,20000000,27093592
Midsommar,2019,7.1,"Drama,Horror,Mystery,Thriller",United States,9000000,47967636
Don't Breathe,2016,7.1,"Crime,Horror,Thriller",United States,9900000,157761002
Bone Tomahawk,2015,7.1,"Drama,Horror,Western",United States,1800000,382579
Don't Look Now,1973,7.2,"Drama,Horror,Mystery,Thriller",United Kingdom,1500000,114156
Videodrome,1983,7.2,"Horror,Sci-Fi,Thriller",Canada,5952000,2120439
Re-Animator,1985,7.2,"Comedy,Horror,Sci-Fi",United States,900000,2023414
The Dead Zone,1983,7.2,"Drama,Horror,Sci-Fi,Thriller",United States,10000000,20766616
From Dusk Till Dawn,1996,7.2,"Action,Crime,Horror",United States,19000000,25837111
In the Mouth of Madness,1994,7.2,"Drama,Fantasy,Horror,Mystery,Thriller",United States,8000000,8924549
Ringu,1998,7.2,"Horror,Mystery",Japan,1200000,59001
The Conjuring 2,2016,7.3,"Horror,Mystery,Thriller",Canada,40000000,321788219
Split,2016,7.3,"Horror,Thriller",United States,9000000,278454417
An American Crime,2007,7.3,"Biography,Crime,Drama,Horror",United States,2000000,1306875
The Rocky Horror Picture Show,1975,7.4,"Comedy,Horror,Musical",United Kingdom,1200000,113804859
Hereditary,2018,7.3,"Drama,Horror,Mystery,Thriller",United States,10000000,80239658
It,2017,7.3,Horror,United States,35000000,701796444
Carrie,1976,7.4,"Horror,Mystery",United States,1800000,33800000
Eraserhead,1977,7.4,"Fantasy,Horror",United States,10000,23557
Doctor Sleep,2019,7.3,"Drama,Fantasy,Horror,Thriller",United Kingdom,45000000,72381712
Dracula,1992,7.4,"Drama,Fantasy,Horror,Romance",United Kingdom,40000000,215862692
Invasion of the Body Snatchers,1978,7.4,"Horror,Sci-Fi",United States,3500000,24946533
The Devil's Backbone,2001,7.4,"Drama,Horror,Thriller",Spain,4500000,6582065
Pi,1998,7.4,"Drama,Horror,Mystery,Sci-Fi,Thriller",United States,60000,3221152
The Wicker Man,1973,7.5,"Horror,Mystery,Thriller",United Kingdom,810000,162007
The Haunting,1963,7.5,Horror,United Kingdom,1400000,742
The Omen,1976,7.5,"Horror,Mystery",United Kingdom,2800000,60922980
Dracula,1931,7.5,"Drama,Fantasy,Horror",United States,355000,85204
The Texas Chain Saw Massacre,1974,7.5,Horror,United States,300000,30860378
An American Werewolf in London,1981,7.5,"Comedy,Horror",United Kingdom,10000000,30683333
A Nightmare on Elm Street,1984,7.5,Horror,United States,1800000,25565727
The Evil Dead,1981,7.5,Horror,United States,350000,2895379
Interview with the Vampire: The Vampire Chronicles,1994,7.5,"Drama,Fantasy,Horror",United States,60000000,223664608
Army of Darkness,1992,7.5,"Comedy,Horror",United States,11000000,11505128
Jacob's Ladder,1990,7.5,"Drama,Horror,Mystery",United States,25000000,26118851
Dead Alive,1992,7.5,"Comedy,Fantasy,Horror,Thriller",New Zealand,3000000,242623
The Conjuring,2013,7.5,"Horror,Mystery,Thriller",United States,20000000,320290989
Evil Dead II,1987,7.7,"Comedy,Horror",United States,3600000,5924421
Halloween,1978,7.7,"Horror,Thriller",United States,325000,47160000
Grindhouse,2007,7.5,"Action,Horror,Thriller",United States,67000000,25422088
The Birds,1963,7.7,"Drama,Horror,Mystery,Romance",United States,2500000,53647
What We Do in the Shadows,2014,7.7,"Comedy,Horror",New Zealand,1600000,7253160
Get Out,2017,7.7,"Horror,Mystery,Thriller",United States,4500000,255589157
Frankenstein,1931,7.8,"Drama,Horror,Sci-Fi,Thriller",United States,291000,1626
Repulsion,1965,7.7,"Drama,Horror,Thriller",United Kingdom,300000,33174
Predator,1987,7.8,"Action,Adventure,Horror,Sci-Fi",United States,15000000,98268458
The Bride of Frankenstein,1935,7.8,"Drama,Horror,Sci-Fi",United States,397024,10493
Night of the Living Dead,1968,7.9,"Horror,Thriller",United States,114000,236452
King Kong,1933,7.9,"Adventure,Horror,Sci-Fi",United States,670000,651
Freaks,1932,7.9,"Drama,Horror",United States,310607,4072
Dawn of the Dead,1978,7.9,"Horror,Thriller",United States,650000,159822
The Exorcist,1973,8.0,Horror,United States,11000000,441306145
Let the Right One In,2008,7.9,"Crime,Drama,Fantasy,Horror,Romance",Sweden,4000000,11227336
The Cabinet of Dr. Caligari,1920,8.1,"Horror,Mystery,Thriller",Germany,18000,8811
The Thing,1982,8.1,"Horror,Mystery,Sci-Fi",United States,15000000,19632053
The Blue Elephant,2014,8.1,"Drama,Horror,Mystery,Thriller",Egypt,3500000,695436
Alien,1979,8.4,"Horror,Sci-Fi",United Kingdom,11000000,106285522
The Shining,1980,8.4,"Drama,Horror",United Kingdom,19000000,46998772
